Ghazaleh Alizadeh|غزالہ علیزادہ
Alicia Vikander|الیسیا ویکاندر
Demyan Bedny|دیمیان بیدنیئی
Anna Grodzka|آنا گرودسکا
Ollie Johnston|اولی جانسٹن
Begum Om Habibeh Aga Khan|بیگم اوم حبیبہ آغا خان
John Jacob Rhodes|جان جیکب روڈز
Amber Smith|امبر سمتھ
Susan Dey|سوسن ڈے
Baydu|بیدو خان
Nicole Sheridan|نکول شریدان
Gloria Leonard|گلوریا لیونارڈ
Fouad Chehab|فواد شہاب
Leslie Browne|لیسلی براؤن
Florence Henderson|فلورنس ہینڈرسن
Barbara Crampton|باربرا کرامپٹن
Scylax of Caryanda|سکائے لیکس
Guru Amar Das|گرو امر داس
Bairam Khan|بیرم خان
Atli Örvarsson|اتلی ارواسن
Cecilia Gessa|سیسلیا گیسا
Paulina Gaitán|پاولینا گایتان
Himilco|ہملیکو
Brenda Bakke|برینڈا باکے
Surya Sen|سوریہ سین
